	Time	HSC Control	MPP Control	HSC Perturbation	MPP Perturbation
0	0	7429.2	15950.9	2174.26	15974.1
1	0	4417.12	18162.5	1347.75	10782.0
2	0	5178.292683	20158.4	1176.34	15723.7
3	0	3729.671642	20022.4	2190.15	17497.7
4	0	1531.384615	7561.21	540.583	5722.46
5	0	2439.791304	9625.74	137.263	4975.79
6	0			85.8	7464.6
7	2	4568.59	20763.2	1103.54	11812.5
8	2	1516.79	18249.7	989.016	3711.79
9	2			881.319	4233.11
10	2			723.261	3018.12
11	6	2574.78	12075.5	2897.38	7353.75
12	6	2066.08	9406.94	2150.23	7930.7
